,Coeff
studi,0.05042516968742811
suggest,0.015478629406832273
covid,0.013560537169220012
research,0.012980190021085638
increas,0.009637610910736512
new,0.009087227049573505
ai,0.00867729846101058
power,0.008579862263063912
dure,0.007330122480512323
robot,0.006876592155132231
sarscov,0.006748689825011089
effect,0.006039063008363637
women,0.005735232123622378
world,0.0056742395939150345
peopl,0.005656861720814599
futur,0.00506740787048169
men,0.004976052035818552
reduc,0.004787091007455217
like,0.004697422459682233
elon,0.004474671623445133
associ,0.0043521905759831055
children,0.004207833889754945
adult,0.004192637417995711
compani,0.004187675338941215
evid,0.003882207406267522
electr,0.003755745834519214
infect,0.0037000431421659002
brain,0.0036931255498229092
energi,0.003584103943888341
scientist,0.0035183481667357586
patient,0.00345199850819675
use,0.0034485689169443685
say,0.0033028034406475627
risk,0.003297802010924296
musk,0.003155501142668259
analysi,0.003139386906963675
wind,0.003082225486238843
death,0.0030082395551037956
renew,0.0029387758955267723
link,0.002902612013378545
discov,0.002901681571147255
car,0.0028252880469893703
climat,0.0027765985039752716
black,0.0027727061027895458
physic,0.0027696011995059773
activ,0.0027445098137768523
speci,0.002706164277595023
space,0.0026241522145375516
solar,0.0026164972190015775
caus,0.002568849978089427
coal,0.00256084797345069
plan,0.0025550632710932596
accord,0.002487425102372734
bird,0.002429379375707437
immun,0.0024225535907533317
technolog,0.0022430912017913514
fuel,0.002235526465881288
parent,0.002219729194743566
perform,0.0021981055345456054
tesla,0.002169185955453702
sever,0.0020503087174538904
treatment,0.0020322646788673866
abil,0.0019864655476137536
individu,0.0019829385994016967
project,0.0019703611706684745
relationship,0.001962468441198314
economi,0.0019565097087327434
exposur,0.0019469530893844555
lead,0.001935597960633034
tech,0.0018633883528881934
appear,0.0018205432517768214
respons,0.0017945829703705386
wa,0.001781888401668738
lower,0.001781260302151452
blood,0.0017699497132717583
develop,0.0017695791732499474
viru,0.0017478951898144577
posit,0.0017270178124074698
measur,0.0017234479720834655
ice,0.0017008411071012509
emot,0.0016758401053739765
impact,0.0016635844006855501
hydrogen,0.0016485983804903795
higher,0.0016407810492007303
artifici,0.0016271856059669428
time,0.0016145833625968897
job,0.0016131821073930705
year,0.0016037900373844086
human,0.001580073266636955
person,0.0015577167899203353
observ,0.0015454982001712994
past,0.0015413903083277935
ha,0.0015395969274720597
internet,0.0015294787484445955
symptom,0.0015144323576575145
reveal,0.0014998578176978405
help,0.0014950146865310052
water,0.0014897034013088243
batteri,0.0014896401087426574
chang,0.0014660791379971238
